Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Second,Public,Public2,Bike,Foot,Car,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.465593,9.183590,45.495034,9.202274,3.582983,2020,03,01,15,44,39,103,104,24,57,16,18,19,0,0
45.497975,9.206961,45.477271,9.163222,4.113901,2020,03,01,15,44,39,34,34,24,70,15,17,17,0,0
45.463769,9.179005,45.500139,9.161154,4.276718,2020,03,01,15,44,39,23,48,27,77,16,24,22,0,0
45.501205,9.152886,45.477444,9.192176,4.044694,2020,03,01,15,44,39,43,28,27,73,16,16,20,0,0
45.491866,9.224927,45.482938,9.146041,6.228874,2020,03,01,15,44,39,36,53,35,102,18,20,20,0,0
45.484947,9.153970,45.456120,9.213843,5.662973,2020,03,01,15,44,39,61,67,33,88,21,26,23,0,0
45.481505,9.201942,45.500061,9.212316,2.216032,2020,03,01,15,44,39,20,12,14,35,7,13,17,0,0
45.481088,9.216586,45.476808,9.182482,2.701101,2020,03,01,15,44,39,23,34,18,45,14,15,17,0,0
45.472319,9.210965,45.490741,9.218019,2.120870,2020,03,01,15,44,39,22,22,11,33,8,11,18,0,0
45.488168,9.227580,45.459485,9.185854,4.555851,2020,03,01,15,44,39,50,80,29,74,21,25,26,0,0
45.446680,9.146118,45.494944,9.197863,6.714032,2020,03,01,15,44,39,47,47,39,105,23,28,41,0,0
45.457930,9.191466,45.464697,9.163443,2.311337,2020,03,01,15,54,40,39,23,17,37,11,16,17,0,0
45.478458,9.206733,45.454580,9.192840,2.867517,2020,03,01,15,54,40,27,27,18,42,13,16,25,0,0
45.499425,9.172292,45.438121,9.160364,6.879531,2020,03,01,15,54,40,57,40,39,119,18,26,23,0,0
45.501366,9.207414,45.482904,9.183768,2.758778,2020,03,01,15,54,40,104,82,15,48,10,11,15,0,0
45.445033,9.182193,45.438187,9.148377,2.745764,2020,03,01,15,54,40,39,38,14,43,9,14,20,0,0
